time,value
172,0.977085412
244,0.895457268
259,1.053045869
402,1.052669168
465,1.117878318
510,1.055399299
556,0.99968797
658,1.152436495
804,1.116621494
1026,1.071660995
1037,1.136220813
1132,1.030618906
1184,0.878872752
1271,0.848340988
1417,0.885385871
1458,1.058650255
1494,1.011286974
1510,1.009810209
1548,1.013736844
1565,1.074237585
1940,0.909522533
1960,0.897931337
2436,0.901751816
2441,0.983543396
2462,0.844971836
2503,0.900587559
2577,1.125686646
2684,0.783510685
2693,1.03258276
2708,0.982212961
2717,0.826684117
2768,0.893595576
3083,0.763557851
3104,0.917010069
3105,0.913697839
3145,0.868009746
3241,0.936043739
3265,0.984602392
3356,0.747251093
3500,0.979932129
3566,0.969763994
3600,0.899215281
3616,0.818705738
3654,0.823661685
3668,0.704857469
3671,0.934985042
3848,0.878976941
3915,0.905266404
4023,0.759974599
4109,0.824070215
4121,0.814891517
4181,0.947407961
4192,0.879712224
4227,0.833922625
4318,0.995270252
4328,0.856696308
4564,0.948305249
4832,0.848783553
5090,1.009765863
5136,0.820101082
5187,0.730364859
5200,0.819396973
5262,0.826993465
5295,0.973276019
5362,0.876627564
5454,0.787260532
5667,0.660051763
5832,0.900851667
5866,0.706097305
5879,0.720128715
5981,0.725935042
5997,0.962509513
6053,0.867551744
6138,0.768138826
6225,0.808277607
6279,0.781335592
6334,0.714768887
6369,0.787596941
6569,0.71702981
6730,0.885057569
6750,0.636364639
6850,0.880682707
6919,0.795335412
6991,0.852604628
6996,0.819905579
7054,0.746385217
7253,0.917895734
7436,0.723354936
7464,0.685361505
7543,0.766250014
7644,0.871742785
7727,0.859604716
7730,0.729424
7756,0.842146814
7794,0.825773478
7986,0.75146246
8122,0.812940717
8291,0.772850752
8548,0.807954788
8554,0.812273145
8618,0.909846783
8659,0.774309337
8694,0.738112688
8724,0.643489718
8752,0.829150915
8776,0.732693136
8778,0.841850519
8823,0.68358171
8833,0.735467196
8877,0.753301203
9058,0.754263401
9152,0.768061399
9252,0.823473454
9291,0.900966704
9327,0.694167733
9359,0.736202717
9547,0.76110512
9712,0.604265392
9753,0.748432577
9754,0.820985973
9837,0.833791435
9867,0.667626619
9894,0.687036514
9917,0.726133943
9949,0.774370432
9973,0.744552851
9979,0.648048401
9993,0.727772653
10063,0.768350005
10090,0.763080239
10121,0.782961905
10191,0.700246453
10342,0.699574113
10395,0.77822876
10445,0.682377338
10458,0.620175004
10501,0.77159512
10518,0.748349309
10561,0.683776259
10643,0.813138723
10645,0.768611431
10707,0.640689552
10724,0.799044967
11023,0.724207938
11036,0.704164386
11054,0.609303176
11094,0.7554093
11118,0.859780014
11218,0.894101858
11331,0.75863862
11394,0.750265419
11409,0.77377522
11819,0.801370978
11867,0.613660693
12027,0.737413347
12076,0.766649604
12316,0.758745193
12354,0.635537386
12398,0.712993622
12400,0.762682199
12476,0.784551084
12601,0.76019311
12708,0.597706676
12901,0.82654357
12905,0.839727879
12944,0.736960173
13304,0.612714171
13388,0.705728233
13418,0.758012712
13522,0.760055304
13550,0.784999669
13623,0.708735287
13642,0.622807205
13647,0.730435073
13802,0.686456025
13849,0.733692527
13971,0.738489032
13980,0.701792598
14006,0.824826539
14046,0.762103856
14188,0.800965071
14206,0.618283153
14265,0.632656693
14354,0.803838491
14361,0.751295686
14535,0.730009079
14623,0.777083457
14645,0.821866274
14745,0.623592496
14851,0.743164539
14864,0.57907325
15019,0.798612773
15065,0.751746297
15070,0.704282701
15124,0.73288995
15185,0.559019804
15371,0.747962713
15490,0.788989902
15610,0.662661076
15638,0.87092483
16076,0.669172287
16241,0.786180913
16313,0.709661245
16392,0.678115308
16427,0.868650198
16834,0.725596249
16866,0.688886046
16880,0.716288269
16883,0.771457791
16907,0.790311813
16947,0.877558231
17120,0.817139983
17126,0.664440095
17127,0.628504395
17263,0.80022645
17394,0.74716413
17563,0.642730713
17632,0.841149449
17697,0.589627802
17731,0.707770288
18005,0.659675002
18121,0.733097076
18129,0.569763243
18133,0.827712893
18137,0.772722065
18405,0.762905419
18481,0.783816755
18759,0.735945761
18765,0.644099295
18780,0.834339738
18795,0.578917146
18904,0.727868855
19109,0.721343279
19113,0.613207281
19209,0.236770034
19319,0.71033901
19377,0.750232339
19498,0.736516893
19501,0.671434641
19546,0.695693135
19617,0.613684952
19841,0.76608181
19922,0.7023772
19999,0.881332874
20493,0.71917665
20578,0.675967157
20618,0.751336455
20646,0.661365867
20664,0.69739306
20666,0.824990571
20760,0.690405488
20841,0.663961649
20968,0.669023275
20979,0.739727557
21000,0.740863323
21036,0.667721748
21052,0.734305382
21129,0.504282713
21267,0.645296931
21311,0.763362288
21676,0.686205864
21678,0.783557653
22063,0.745558619
22162,0.830456376
22307,0.761106849
22380,0.762479186
22702,0.660544634
22756,0.695309937
23071,0.83014214
23106,0.709119618
23330,0.654351413
23406,0.747920632
23407,0.575597584
23500,0.590935588
23589,0.624432385
24378,0.643063545
24469,0.717600048
24473,0.726420999
24492,0.774064243
24704,0.758061588
24718,0.733211875
24758,0.582925916
24828,0.665140867
24843,0.659761548
24875,0.691995203
24882,0.708186209
24938,0.683193088
24991,0.677813649
25053,0.765046358
25112,0.556820631
25249,0.817118406
25444,0.648893893
25649,0.672884583
25703,0.577107668
25713,0.635620713
25715,0.629884124
25757,0.625591159
25917,0.683997095
25929,0.696055532
26153,0.759263754
26263,0.565997601
26303,0.673589587
26377,0.771013618
26421,0.632726073
26646,0.676627874
26693,0.626515388
26816,0.800365448
26970,0.559960961
27014,0.753445745
27029,0.746322751
27104,0.783575416
27308,0.669396996
27367,0.578719079
27454,0.703254402
27521,0.798923492
27626,0.606470346
27651,0.650554299
27792,0.806866527
27833,0.751289845
27894,0.541493475
28006,0.655311108
28045,0.689124644
28102,0.744209945
28452,0.635391474
28460,0.688325107
28615,0.662823141
28794,0.621853888
28854,0.761573493
28882,0.748418212
28972,0.74642998
28984,0.683684289
29126,0.684285581
29259,0.613638878
29310,0.656325936
29431,0.647250831
29490,0.712309361
29565,0.787321031
29620,0.783008158
29636,0.61445272
29671,0.628411651
29677,0.794157505
29784,0.816791415
29831,0.774148405
29848,0.748146176
29874,0.649570525
29974,0.56996882
29999,0.666204631
30055,0.890412688
30067,0.714450479
30080,0.787760437
30300,0.669163704
30333,0.602796078
30703,0.724606991
30892,0.805988431
30919,0.633240998
30959,0.644130707
30967,0.629358411
31006,0.80632776
31244,0.575066388
31314,0.603494823
31376,0.675935328
31410,0.73273015
31469,0.704109848
31607,0.599170089
31660,0.738312125
31700,0.582465053
31902,0.637634516
31918,0.60907805
31953,0.730472445
31976,0.608496666
32014,0.693721652
32173,0.650040925
32507,0.599992096
32569,0.745741606
32811,0.584369779
32824,0.669409215
32825,0.649913371
32902,0.706404686
32966,0.718607724
33012,0.694779336
33279,0.622712731
33408,0.614450336
33426,0.613391399
33701,0.796471477
33803,0.618670583
33864,0.715825617
33866,0.643343329
33886,0.658048272
34021,0.593107581
34107,0.552010894
34464,0.629867256
34499,0.680649877
34623,0.746163726
34931,0.513515353
34949,0.67487824
34951,0.692095518
34967,0.656782389
35114,0.61316216
35140,0.640702307
35217,0.598104119
35377,0.660410583
35464,0.557454109
35477,0.648016691
35551,0.761900425
35579,0.726154804
35635,0.678002477
35704,0.680979371
35874,0.741158366
35913,0.674938142
35948,0.556910574
36008,0.471963167
36501,0.597682655
36612,0.700827897
36631,0.773200393
36686,0.64849633
36694,0.634362161
36886,0.736890137
36888,0.618491948
36891,0.528907478
36903,0.627009332
36917,0.720800042
36996,0.670595407
37065,0.752345681
37079,0.635595918
37116,0.829951882
37182,0.751233935
37498,0.740947664
37647,0.650323629
37674,0.716487169
37749,0.604473412
37803,0.758767664
37808,0.60224849
37937,0.687390327
38386,0.584726691
38387,0.606509149
38408,0.626106203
38487,0.642686725
38518,0.645128071
38563,0.719187081
38805,0.638876021
38839,0.68996644
38880,0.719382524
38898,0.665851474
39025,0.761008739
39238,0.522076726
39477,0.605746508
39551,0.766847134
39588,0.622846007
39712,0.589571595
40030,0.738798082
40110,0.72142601
40174,0.57693249
40236,0.705227733
40249,0.708235562
40285,0.612442374
40326,0.713663459
40332,0.68753618
40416,0.687052786
40522,0.682403743
40540,0.872414947
40593,0.710373819
40617,0.596097052
40793,0.695812345
40801,0.676355839
40849,0.658034205
40942,0.617663383
41043,0.741674602
41070,0.779015064
41073,0.662848532
41077,0.594382882
41291,0.625478983
41374,0.768217325
41473,0.5672158
41536,0.529444039
41541,0.7199983
41566,0.773925185
41654,0.701782584
41772,0.803402662
41912,0.693748116
41968,0.658822894
42012,0.583456993
42118,0.558604956
42128,0.617631674
42131,0.725168586
42461,0.668941319
42535,0.674877286
42855,0.667441607
42869,0.692148685
42900,0.498171508
42951,0.669057071
43138,0.6287328
43231,0.783805132
43234,0.711312175
43296,0.664743304
