time,value
172,5.821426868
244,3.924710512
259,4.07407999
402,3.894099712
465,3.158540487
510,3.612369776
556,3.113378763
658,2.548180819
804,3.555433035
1026,2.464262962
1037,2.446130037
1132,2.780311823
1184,2.284455299
1271,2.48177743
1417,2.121050119
1458,2.52059269
1494,1.804884553
1510,2.374633789
1548,2.623358488
1565,1.573117614
1940,2.014200211
1960,1.907319665
2436,1.761356711
2441,2.607767105
2462,2.489396572
2503,2.181494713
2577,1.963404655
2684,2.036815882
2693,1.968847275
2708,1.849865079
2717,1.404838324
2768,2.480106592
3083,2.057114363
3104,2.233338833
3105,1.445781469
3145,1.806334853
3241,1.66973269
3265,1.751890182
3356,1.94689405
3500,1.814501643
3566,1.791554213
3600,1.997089982
3616,1.87615943
3654,1.727882862
3668,1.964199901
3671,1.825619578
3848,1.781947136
3915,1.588838339
4023,1.776014686
4109,1.811803579
4121,1.672486663
4181,1.41062057
4192,1.780233979
4227,1.649117351
4318,2.12667346
4328,1.68932724
4564,2.044968367
4832,1.876750708
5090,1.700995445
5136,1.759277463
5187,1.553503871
5200,1.454119802
5262,1.469320893
5295,1.375362396
5362,1.3764534
5454,1.342948794
5667,1.740288138
5832,2.146154165
5866,1.891243935
5879,2.022028208
5981,1.568820357
5997,2.288476229
6053,1.644255877
6138,1.661039591
6225,1.457671642
6279,2.05974555
6334,1.546789646
6369,1.366929054
6569,1.554296732
6730,1.529042125
6750,1.726274371
6850,1.196897864
6919,1.736777425
6991,1.80065763
6996,1.88458252
7054,1.16927278
7253,2.136891603
7436,1.508961558
7464,1.240731716
7543,1.682223201
7644,1.507222176
7727,1.813461781
7730,1.196210504
7756,1.44968462
7794,1.226853132
7986,1.370005131
8122,1.294755816
8291,1.293632269
8548,2.448495388
8554,1.801727295
8618,1.404364467
8659,1.529371738
8694,1.407677412
8724,1.538746238
8752,1.70730722
8776,1.775299907
8778,1.569019675
8823,2.141424894
8833,1.4741081
8877,1.287752509
9058,1.290297747
9152,1.440523028
9252,1.954025745
9291,1.752582431
9327,1.73994875
9359,2.312205553
9547,1.007107019
9712,1.685492635
9753,1.334697962
9754,1.95467627
9837,2.277938366
9867,1.071179867
9894,1.337124348
9917,1.416425586
9949,1.288636923
9973,1.087774754
9979,1.464116216
9993,1.574566245
10063,1.144937634
10090,1.123536348
10121,1.35468328
10191,1.319546819
10342,1.224151015
10395,1.253268242
10445,1.029180527
10458,1.801769257
10501,1.708068609
10518,1.73684442
10561,1.693474412
10643,1.216838121
10645,1.255819201
10707,1.223971844
10724,1.445929885
11023,1.422432303
11036,1.180321932
11054,1.313896298
11094,1.672450066
11118,1.376289129
11218,1.837825298
11331,1.370655179
11394,1.450770736
11409,1.505164623
11819,1.867782354
11867,1.354554057
12027,1.073312163
12076,1.302569032
12316,1.472723603
12354,1.010650396
12398,1.285719991
12400,1.493907809
12476,2.14151001
12601,1.757964134
12708,1.145727634
12901,1.21013248
12905,1.232628822
12944,1.327639937
13304,1.327046633
13388,1.385021567
13418,1.380752325
13522,1.543640256
13550,1.482264757
13623,1.237286925
13642,1.35578835
13647,1.48152554
13802,1.555114269
13849,1.064087152
13971,1.505016565
13980,2.433146715
14006,1.333741069
14046,1.251449704
14188,1.06081903
14206,1.331691861
14265,1.768431664
14354,1.184124708
14361,1.621559262
14535,1.290658116
14623,1.275921583
14645,1.064950585
14745,1.696721792
14851,1.541487336
14864,1.57839787
15019,1.501054168
15065,1.290429354
15070,1.078184724
15124,1.298496366
15185,1.368453741
15371,1.86339128
15490,1.634278417
15610,1.662214279
15638,1.384996772
16076,1.181414723
16241,1.59629631
16313,1.483657122
16392,1.095964074
16427,1.137546778
16834,1.260586023
16866,1.128007054
16880,1.273686171
16883,1.659416556
16907,1.73380053
16947,1.749873996
17120,1.827185512
17126,1.314436197
17127,1.276792169
17263,1.523409963
17394,1.42580843
17563,1.066418886
17632,1.444944739
