time,value
18,0.300595164
47,0.540205777
62,0.533900976
63,0.662545204
89,0.737008214
103,0.617723882
107,0.647385418
128,0.631255269
164,0.764163792
172,0.73039484
191,0.746397257
203,0.676710844
229,0.783985317
244,0.675197899
259,0.596056223
282,0.660058618
285,0.681865335
316,0.733925343
319,0.597505271
366,0.764831901
386,0.681889176
402,0.64733398
415,0.544292927
437,0.584384978
446,0.543545842
465,0.500388861
475,0.580379128
481,0.665897012
510,0.549382448
533,0.612186909
538,0.496379584
540,0.577791333
556,0.583650053
562,0.637108207
594,0.587219775
596,0.558653533
637,0.622276545
643,0.642488897
644,0.57510066
658,0.473669529
675,0.447975963
721,0.431001842
764,0.464691162
775,0.56886071
804,0.510976732
857,0.572183251
866,0.667369127
886,0.463315755
942,0.379038632
999,0.549775064
1015,0.620489001
1022,0.480033189
1026,0.367883325
1037,0.529303551
1056,0.695551276
1071,0.541761816
1077,0.512313187
1098,0.366058648
1109,0.533542752
1111,0.337658107
1125,0.536246121
1132,0.52708149
1151,0.375870407
1152,0.559719682
1164,0.440345466
1174,0.473226547
1176,0.465804964
1184,0.567595482
1218,0.54927808
1252,0.517573476
1254,0.365246594
1257,0.479541361
1261,0.268132389
1267,0.46701479
1271,0.481293857
1325,0.50754559
1345,0.532854974
1375,0.522228658
1376,0.35883534
1417,0.391497493
1457,0.462114573
1458,0.418332428
1494,0.3655397
1502,0.470313907
1510,0.459923983
1513,0.358352244
1548,0.402454287
1551,0.4616943
1565,0.271463722
1568,0.456348032
1585,0.356001139
1596,0.36175555
1627,0.33360076
1635,0.460942328
1670,0.355583727
1685,0.474891394
1702,0.387201697
1704,0.389465719
1711,0.390578568
1777,0.465877175
1847,0.468500525
1860,0.32951799
1867,0.385753989
1899,0.324005932
1902,0.320906878
1909,0.309522867
1940,0.404222608
1945,0.445835531
1960,0.282124937
1961,0.507869482
1979,0.313754201
2070,0.350058436
2079,0.326910436
2089,0.479385942
2100,0.455696225
2209,0.325383604
2239,0.455107987
2319,0.29424566
2359,0.315769643
2394,0.328664899
2436,0.37412113
2441,0.346608818
2454,0.233658612
2462,0.208316714
2465,0.316492796
2485,0.452142775
2503,0.378477812
2517,0.319639504
2519,0.42801559
2530,0.391002387
2577,0.352711022
2578,0.307343066
2599,0.328933716
2627,0.277977794
2635,0.36892122
2643,0.426175356
2684,0.366685331
2693,0.332483411
2708,0.310773164
2717,0.381611645
2734,0.401639998
2739,0.294526756
2740,0.289064825
2753,0.40668118
2754,0.339467913
2755,0.2652376
2765,0.381591141
2768,0.305611134
2785,0.354126036
2812,0.333287686
2834,0.321438015
2844,0.350085258
2861,0.203265458
2862,0.285214603
2921,0.303351283
2952,0.2833758
2955,0.282962799
2962,0.385511935
2973,0.263768256
3034,0.405200124
3047,0.236893982
3083,0.396106094
3084,0.523502231
3103,0.320190251
3104,0.31902352
3105,0.385757953
3119,0.347911119
3120,0.360215098
3121,0.315678
3145,0.321766466
3173,0.298586309
3192,0.379738837
3199,0.390757531
3217,0.480143309
3220,0.323256642
3241,0.450764298
3265,0.486607105
3268,0.385970086
3306,0.290445507
3340,0.3125664
3356,0.393684268
3385,0.237663686
3404,0.316546381
3461,0.31859073
3483,0.33941263
3484,0.358062148
3491,0.327381939
3500,0.359653085
